NAME,Latitude,Longitude,AREA_ACRES,GlobalID,FacilityID,Condition
Sports Park,34.07908643,-117.1460067,36.16024058,2cd1b3c1-a7f6-4710-9a34-46479a735d5a,2, 
Texonia Park,34.07162599,-117.1916893,6.56366417,9f7fa0c5-1a82-497a-a10f-193a649e58e6,4, 
Crafton Park,34.06105706,-117.1399756,6.42123685,5a26f605-0d5c-4353-9588-885c6385c28f,8, 
Jennie Davis Park,34.05880313,-117.1947489,2.63992033,f33591fc-b84e-4064-8342-57226d0400c1,9, 
Ed Hales Park,34.05671153,-117.1812362,0.2192959,3405c959-8b22-45df-8e04-ef87874fdfe0,10, 
Smiley Park,34.05346181,-117.1846091,2.16265414,f8aca41d-7537-4a6b-ac10-722c573d28cf,11, 
Brookside Park,34.04566087,-117.2097489,9.47106932,2a43876f-922e-4954-b615-e510645d93ff,15, 
Prospect Park,34.03897428,-117.1720729,33.42606344,be748538-5efa-4813-8de9-9d5d6b2cdf55,17, 
Franklin Park,34.03886401,-117.1675562,0.57286734,59b56e9e-2bc7-42f1-b40f-47641fb5a905,18, 
Oakmont Park,34.01193591,-117.1226113,14.57054978,3851706a-3ce6-46c0-aad1-b2ba47b15b2e,20, 
Israel Beal Park,34.08656618,-117.1872261,15.41632073,82208695-c7b9-4417-bc32-5a67455b777b,1, 
Community Park,34.07546372,-117.1748499,18.17753453,b98c9446-110d-4d71-ac42-d7a72dd818c9,3, 
Sylvan Park,34.0604306,-117.1681748,18.42680739,d55afca4-9330-4b56-b6cf-475973efe91a,7, 
Caroline Park,34.02315931,-117.1580909,18.22078524,dd26395a-8c3c-464b-9764-8da223202350,19, 
Heritage Park,34.05100075,-117.2151968,18.40967385,5b084f5d-ccf7-4aa8-9c4c-3fe006f9d977,23, 
Orange Street Alley,34.05598904,-117.1821324,0.06430043,5bcfd8c3-be1f-4bce-8654-815798b7af29,24, 
Judson Ranch East Park,34.07972679,-117.1552944,1.77445475,e181aee1-cde7-4c2a-af2d-3f1ff7e1d7e4,25,CFD not maintained by city
Ford Park,34.04397947,-117.1608364,18.17583078,5aff179a-089a-4c6b-a668-2d8861f8c4e1,27, 
Triangle Park,34.05543199,-117.1826986,0.00579205,050f275c-82dd-46f8-a288-92ed26d5a90b,26, 
Laramie Park,34.05965209,-117.1514977,1.08265091,4bec5d1f-a9ee-4442-b72d-600d220a2d40,28, 
The Terrace,34.06270635,-117.1775095,1.89888834,18542ff1-6028-46bf-b84d-75f5c5231f5f,6,
Judson Ranch West Park,34.07901386,-117.1575865,5.58631543,44ed150f-cac2-4b4b-8a29-a88144e5afa3,29,
Lincoln Park,34.06016276,-117.1534198,3.74406417,f9006e41-fa83-45fe-b9c8-9c49bc04b2d6,30,
Galway Ave Park,34.07173667,-117.1528112,0.29209664,9a9bc377-ee02-4837-baba-40f2dbd7addf,31,
